episode,reward,length,loss,epsilon
196,101,102,0.348245,0.018206
197,132,133,0.353627,0.0159377
198,71,72,0.395189,0.01483
199,105,106,0.3161,0.0133377
200,95,96,0.281685,0.0121163
201,117,118,0.315091,0.010767
202,69,70,0.362618,0.0100388
203,131,132,0.321934,0.01
204,325,326,0.3795,0.01
205,79,80,0.351676,0.01
206,93,94,0.308668,0.01
207,88,89,0.356101,0.01
208,95,96,0.309463,0.01
209,198,199,0.307863,0.01
210,70,71,0.336002,0.01
211,190,191,0.372226,0.01
212,171,172,0.299049,0.01
213,211,212,0.337319,0.01
214,174,175,0.341618,0.01
215,267,268,0.303479,0.01
216,164,165,0.358756,0.01
217,140,141,0.358633,0.01
218,281,282,0.342581,0.01
219,273,274,0.364494,0.01
220,176,177,0.339558,0.01
221,285,286,0.306178,0.01
222,320,321,0.306864,0.01
223,210,211,0.337872,0.01
224,205,206,0.30094,0.01
225,252,253,0.330528,0.01
226,305,306,0.320886,0.01
227,226,227,0.364706,0.01
228,210,211,0.377966,0.01
229,347,348,0.343987,0.01
230,451,452,0.41314,0.01
231,395,396,0.349914,0.01
232,269,270,0.395279,0.01
233,251,252,0.399357,0.01
234,228,229,0.356023,0.01
235,214,215,0.410722,0.01
236,207,208,0.416574,0.01
237,325,326,0.446862,0.01
238,288,289,0.442623,0.01
239,290,291,0.412657,0.01
240,196,197,0.435494,0.01
241,302,303,0.468635,0.01
242,228,229,0.406943,0.01
243,227,228,0.53261,0.01
244,229,230,0.401897,0.01
245,242,243,0.625139,0.01
246,454,455,0.518495,0.01
247,176,177,0.524878,0.01
248,187,188,0.580576,0.01
249,238,239,0.634212,0.01
250,253,254,0.450062,0.01
251,282,283,0.617829,0.01
252,275,276,0.671066,0.01
253,383,384,0.521762,0.01
254,243,244,0.426252,0.01
255,239,240,0.654458,0.01
256,273,274,0.474037,0.01
257,350,351,0.591901,0.01
258,308,309,0.663183,0.01
259,264,265,0.532513,0.01
260,432,433,0.633798,0.01
261,255,256,0.776287,0.01
262,289,290,0.706735,0.01
263,257,258,0.956891,0.01
264,204,205,0.692588,0.01
265,201,202,0.867597,0.01
266,230,231,0.880452,0.01
267,267,268,0.54535,0.01
268,199,200,0.841517,0.01
269,302,303,0.792026,0.01
270,331,332,0.730129,0.01
271,297,298,0.547155,0.01
272,253,254,0.686092,0.01
273,249,250,0.682282,0.01
274,259,260,0.463837,0.01
275,286,287,0.621681,0.01
276,252,253,0.614404,0.01
277,279,280,0.556618,0.01
278,310,311,0.577621,0.01
279,208,209,0.698804,0.01
280,182,183,0.404397,0.01
281,290,291,0.470609,0.01
282,178,179,0.497162,0.01
283,243,244,0.369077,0.01
284,226,227,0.449887,0.01
285,251,252,0.741434,0.01
286,295,296,0.346597,0.01
287,193,194,0.38142,0.01
288,346,347,0.483074,0.01
289,313,314,0.402394,0.01
290,191,192,0.370591,0.01
291,209,210,0.358114,0.01
292,180,181,0.369604,0.01
293,172,173,0.444457,0.01
294,164,165,0.363388,0.01
295,231,232,0.261928,0.01
296,362,363,0.323721,0.01
297,211,212,0.390168,0.01
298,207,208,0.22972,0.01
299,273,274,0.279064,0.01
300,219,220,0.30454,0.01
301,185,186,0.194549,0.01
302,215,216,0.1908,0.01
303,228,229,0.286791,0.01
304,218,219,0.355645,0.01
305,322,323,0.196261,0.01
306,265,266,0.207605,0.01
307,229,230,0.209675,0.01
308,226,227,0.203336,0.01
309,192,193,0.210188,0.01
310,189,190,0.124332,0.01
311,190,191,0.237902,0.01
312,289,290,0.148668,0.01
313,214,215,0.152955,0.01
314,204,205,0.16422,0.01
315,317,318,0.134568,0.01
316,227,228,0.101998,0.01
317,288,289,0.169023,0.01
318,317,318,0.12958,0.01
319,176,177,0.15182,0.01
320,227,228,0.112089,0.01
321,206,207,0.171705,0.01
322,276,277,0.0902674,0.01
323,221,222,0.134483,0.01
324,228,229,0.0766332,0.01
325,264,265,0.0831263,0.01
326,299,300,0.130831,0.01
327,263,264,0.0945589,0.01
328,228,229,0.127346,0.01
329,214,215,0.119739,0.01
330,322,323,0.0598893,0.01
331,466,467,0.0900389,0.01
332,173,174,0.0473982,0.01
333,206,207,0.0988117,0.01
334,210,211,0.0724834,0.01
335,295,296,0.073341,0.01
336,269,270,0.037022,0.01
337,231,232,0.07547,0.01
338,198,199,0.0789803,0.01
339,246,247,0.0554187,0.01
340,218,219,0.047172,0.01
341,208,209,0.038057,0.01
342,235,236,0.0388142,0.01
343,180,181,0.0369256,0.01
344,272,273,0.0396984,0.01
345,250,251,0.0382736,0.01
346,200,201,0.0463987,0.01
347,242,243,0.0320574,0.01
348,215,216,0.051671,0.01
349,320,321,0.0491991,0.01
350,228,229,0.0399567,0.01
351,331,332,0.0349974,0.01
352,386,387,0.028911,0.01
353,258,259,0.0393402,0.01
354,211,212,0.0171643,0.01
355,217,218,0.0190831,0.01
356,204,205,0.012768,0.01
357,355,356,0.021498,0.01
358,191,192,0.0142386,0.01
359,227,228,0.0245519,0.01
360,191,192,0.0396668,0.01
361,248,249,0.0111308,0.01
362,204,205,0.0114451,0.01
363,290,291,0.0153345,0.01
364,224,225,0.0106604,0.01
365,242,243,0.0128007,0.01
366,308,309,0.0253372,0.01
367,232,233,0.0185899,0.01
368,281,282,0.0112175,0.01
369,314,315,0.012644,0.01
370,234,235,0.0125936,0.01
371,315,316,0.0168431,0.01
372,281,282,0.0134426,0.01
373,186,187,0.0145813,0.01
374,329,330,0.012034,0.01
375,248,249,0.0102116,0.01
376,193,194,0.0111617,0.01
377,296,297,0.0118743,0.01
378,301,302,0.00815627,0.01
379,224,225,0.0111563,0.01
380,191,192,0.0132846,0.01
381,379,380,0.00901534,0.01
382,224,225,0.0119837,0.01
383,327,328,0.00774867,0.01
384,246,247,0.0107752,0.01
385,206,207,0.0148048,0.01
386,276,277,0.00702596,0.01
387,205,206,0.0162723,0.01
388,313,314,0.00925849,0.01
389,302,303,0.00851531,0.01
390,257,258,0.00757072,0.01
391,242,243,0.0107401,0.01
392,193,194,0.0091421,0.01
393,298,299,0.0100903,0.01
394,210,211,0.00955357,0.01
395,200,201,0.00822467,0.01
396,252,253,0.0119012,0.01
397,213,214,0.00938689,0.01
398,317,318,0.0159603,0.01
399,272,273,0.0121709,0.01
400,235,236,0.0101348,0.01
401,353,354,0.00989578,0.01
402,443,444,0.0149689,0.01
403,202,203,0.0211652,0.01
404,470,471,0.0113761,0.01
405,228,229,0.00808189,0.01
406,273,274,0.0121255,0.01
407,219,220,0.00549228,0.01
408,277,278,0.00908669,0.01
409,239,240,0.00647846,0.01
410,207,208,0.0158309,0.01
411,254,255,0.00838701,0.01
412,194,195,0.00776172,0.01
413,226,227,0.0116902,0.01
414,284,285,0.00598343,0.01
415,243,244,0.00880231,0.01
416,297,298,0.0176402,0.01
417,286,287,0.0105557,0.01
418,322,323,0.00733646,0.01
419,208,209,0.011445,0.01
420,212,213,0.0149443,0.01
421,325,326,0.0160182,0.01
422,255,256,0.0118476,0.01
423,423,424,0.00966723,0.01
424,236,237,0.0197792,0.01
425,333,334,0.00549516,0.01
426,209,210,0.00641543,0.01
427,433,434,0.010067,0.01
428,253,254,0.00940398,0.01
429,414,415,0.00546904,0.01
430,212,213,0.006808,0.01
431,269,270,0.00987373,0.01
432,215,216,0.0074239,0.01
433,216,217,0.00965209,0.01
434,300,301,0.00783097,0.01
435,400,401,0.010128,0.01
436,443,444,0.00836173,0.01
437,288,289,0.0140476,0.01
438,326,327,0.00721203,0.01
439,214,215,0.00808782,0.01
440,255,256,0.00558118,0.01
441,224,225,0.0109917,0.01
442,267,268,0.00472389,0.01
443,285,286,0.00579767,0.01
444,307,308,0.00688095,0.01
445,276,277,0.00603817,0.01
446,301,302,0.00684714,0.01
447,500,500,0.00557014,0.01
448,252,253,0.0058777,0.01
449,404,405,0.1083,0.01
450,290,291,0.0756327,0.01
451,201,202,0.00629287,0.01
452,273,274,0.00754411,0.01
453,319,320,0.00729708,0.01
454,212,213,0.0507665,0.01
455,228,229,0.00495677,0.01
456,199,200,0.00866175,0.01
457,234,235,0.0453876,0.01
458,219,220,0.00904873,0.01
459,313,314,0.0357668,0.01
460,341,342,0.00643067,0.01
461,257,258,0.00756417,0.01
462,335,336,0.0366899,0.01
463,224,225,0.0115108,0.01
464,241,242,0.00968981,0.01
465,274,275,0.0113537,0.01
466,274,275,0.0852688,0.01
467,212,213,0.0103279,0.01
468,388,389,0.0383775,0.01
469,254,255,0.00825711,0.01
470,277,278,0.129517,0.01
471,257,258,0.0111057,0.01
472,236,237,0.0951101,0.01
473,208,209,0.0612803,0.01
474,235,236,0.0532109,0.01
475,203,204,0.0273846,0.01
476,268,269,0.0210437,0.01
477,200,201,0.0294243,0.01
478,256,257,0.0554459,0.01
479,271,272,0.0155052,0.01
480,305,306,0.0301868,0.01
481,210,211,0.129228,0.01
482,235,236,0.121371,0.01
483,226,227,0.0392447,0.01
484,249,250,0.0826769,0.01
485,187,188,0.0852721,0.01
486,205,206,0.0193565,0.01
487,207,208,0.0183065,0.01
488,187,188,0.0371862,0.01
489,241,242,0.0292725,0.01
490,183,184,0.0165678,0.01
491,185,186,0.026031,0.01
492,214,215,0.0244977,0.01
493,189,190,0.0873082,0.01
494,201,202,0.0275053,0.01
495,186,187,0.0293399,0.01
496,184,185,0.0904592,0.01
497,237,238,0.0795818,0.01
498,204,205,0.0182063,0.01
499,263,264,0.0184551,0.01
500,198,199,0.0354299,0.01
501,199,200,0.0314187,0.01
502,263,264,0.0676874,0.01
503,207,208,0.0166429,0.01
504,209,210,0.028329,0.01
505,209,210,0.0285939,0.01
506,179,180,0.0263509,0.01
507,241,242,0.0719242,0.01
508,183,184,0.0295701,0.01
509,250,251,0.107425,0.01
510,172,173,0.0126671,0.01
511,194,195,0.0359012,0.01
512,182,183,0.0295213,0.01
513,238,239,0.0193381,0.01
514,181,182,0.0859518,0.01
515,193,194,0.0851201,0.01
516,187,188,0.0210538,0.01
517,183,184,0.0181691,0.01
518,244,245,0.0544498,0.01
519,166,167,0.0194038,0.01
520,217,218,0.0146515,0.01
521,199,200,0.0268462,0.01
522,216,217,0.0190633,0.01
523,222,223,0.0119762,0.01
524,207,208,0.0115931,0.01
525,181,182,0.0123225,0.01
526,216,217,0.133049,0.01
527,208,209,0.0115263,0.01
528,188,189,0.0128577,0.01
529,172,173,0.00996924,0.01
530,170,171,0.0128138,0.01
531,220,221,0.113661,0.01
532,183,184,0.0200078,0.01
533,206,207,0.076147,0.01
534,209,210,0.0631674,0.01
535,170,171,0.0170735,0.01
536,187,188,0.00848162,0.01
537,179,180,0.0127495,0.01
538,211,212,0.0155882,0.01
539,188,189,0.00744406,0.01
540,184,185,0.00975122,0.01
541,206,207,0.0104509,0.01
542,263,264,0.00622011,0.01
543,191,192,0.0146111,0.01
544,204,205,0.00535626,0.01
545,196,197,0.00983223,0.01
546,189,190,0.0154872,0.01
547,205,206,0.00688021,0.01
548,242,243,0.00680944,0.01
549,233,234,0.00926967,0.01
550,204,205,0.00625777,0.01
551,233,234,0.0081024,0.01
552,167,168,0.0217234,0.01
553,172,173,0.00805725,0.01
554,191,192,0.00649039,0.01
555,253,254,0.00746506,0.01
556,187,188,0.00770192,0.01
557,204,205,0.00759961,0.01
558,184,185,0.0105857,0.01
559,178,179,0.0100113,0.01
560,221,222,0.00496448,0.01
561,207,208,0.00609744,0.01
562,196,197,0.0101097,0.01
563,177,178,0.00824065,0.01
564,183,184,0.00383396,0.01
565,248,249,0.00509878,0.01
566,173,174,0.00573713,0.01
567,204,205,0.00724251,0.01
568,191,192,0.00563759,0.01
569,184,185,0.00458424,0.01
570,214,215,0.00808195,0.01
571,217,218,0.00675481,0.01
572,196,197,0.00632706,0.01
573,184,185,0.00607601,0.01
574,186,187,0.00563359,0.01
575,213,214,0.00627064,0.01
576,207,208,0.00582314,0.01
577,189,190,0.00951678,0.01
578,196,197,0.0079334,0.01
579,204,205,0.00552284,0.01
580,193,194,0.0055253,0.01
581,177,178,0.00433302,0.01
582,207,208,0.00370403,0.01
583,182,183,0.00647517,0.01
584,195,196,0.00594135,0.01
585,192,193,0.00738426,0.01
586,196,197,0.00709216,0.01
587,219,220,0.00599812,0.01
588,214,215,0.00591319,0.01
589,181,182,0.00662382,0.01
590,204,205,0.00675163,0.01
591,191,192,0.00745701,0.01
