episode,reward,length,loss,epsilon
198,70,71,0.283292,0.0441766
199,53,54,0.290369,0.0418532
200,51,52,0.305544,0.0397314
201,32,33,0.299733,0.038441
202,47,48,0.276813,0.0366386
203,67,68,0.244087,0.0342288
204,110,111,0.32595,0.030631
205,70,71,0.243614,0.0285306
206,91,92,0.360638,0.0260217
207,32,33,0.361862,0.0251766
208,36,37,0.393887,0.0242616
209,69,70,0.316262,0.0226206
210,59,60,0.318046,0.0213026
211,69,70,0.347467,0.0198617
212,46,47,0.374352,0.0189494
213,36,37,0.351859,0.0182607
214,67,68,0.31164,0.0170597
215,75,76,0.320011,0.0158106
216,111,112,0.35645,0.0141346
217,135,136,0.38211,0.0123364
218,122,123,0.37994,0.010908
219,92,93,0.36743,0.01
220,87,88,0.4175,0.01
221,93,94,0.327832,0.01
222,73,74,0.370937,0.01
223,104,105,0.332009,0.01
224,110,111,0.377032,0.01
225,81,82,0.309549,0.01
226,150,151,0.380609,0.01
227,165,166,0.380506,0.01
228,118,119,0.361951,0.01
229,168,169,0.35209,0.01
230,146,147,0.302347,0.01
231,167,168,0.351553,0.01
232,257,258,0.388744,0.01
233,246,247,0.353804,0.01
234,307,308,0.366127,0.01
235,173,174,0.425422,0.01
236,187,188,0.429623,0.01
237,185,186,0.364494,0.01
238,203,204,0.404372,0.01
239,235,236,0.417668,0.01
240,167,168,0.352328,0.01
241,206,207,0.440824,0.01
242,268,269,0.376282,0.01
243,199,200,0.382911,0.01
244,289,290,0.342553,0.01
245,216,217,0.400085,0.01
246,200,201,0.470118,0.01
247,169,170,0.431341,0.01
248,178,179,0.466881,0.01
249,258,259,0.4475,0.01
250,196,197,0.294541,0.01
251,231,232,0.425505,0.01
252,245,246,0.360101,0.01
253,239,240,0.471877,0.01
254,199,200,0.538188,0.01
255,191,192,0.485739,0.01
256,217,218,0.456977,0.01
257,246,247,0.497874,0.01
258,290,291,0.466029,0.01
259,254,255,0.419903,0.01
260,265,266,0.478918,0.01
261,220,221,0.4101,0.01
262,230,231,0.449665,0.01
263,217,218,0.530189,0.01
264,208,209,0.542795,0.01
265,195,196,0.54191,0.01
266,199,200,0.439522,0.01
267,243,244,0.508015,0.01
268,195,196,0.47153,0.01
269,266,267,0.644619,0.01
270,269,270,0.602319,0.01
271,335,336,0.701494,0.01
272,227,228,0.57161,0.01
273,215,216,0.627886,0.01
274,236,237,0.625148,0.01
275,268,269,0.580068,0.01
276,244,245,0.70631,0.01
277,483,484,0.665016,0.01
278,296,297,0.664529,0.01
279,231,232,0.637996,0.01
280,195,196,0.617772,0.01
281,295,296,0.615141,0.01
282,188,189,0.578302,0.01
283,249,250,0.618085,0.01
284,227,228,0.573742,0.01
285,283,284,0.762061,0.01
286,350,351,0.712034,0.01
287,207,208,0.548521,0.01
288,318,319,0.832919,0.01
289,250,251,0.770473,0.01
290,208,209,0.874074,0.01
291,227,228,0.689323,0.01
292,209,210,0.745252,0.01
293,199,200,0.815456,0.01
294,194,195,0.798528,0.01
295,281,282,0.865145,0.01
296,281,282,0.817348,0.01
297,234,235,0.956116,0.01
298,237,238,0.781164,0.01
299,318,319,0.630262,0.01
300,253,254,0.613083,0.01
301,226,227,0.467058,0.01
302,230,231,0.578096,0.01
303,256,257,0.51196,0.01
304,245,246,0.401041,0.01
305,247,248,0.490471,0.01
306,212,213,0.499073,0.01
307,268,269,0.542943,0.01
308,270,271,0.496615,0.01
309,210,211,0.427251,0.01
310,204,205,0.387405,0.01
311,205,206,0.344063,0.01
312,317,318,0.373454,0.01
313,233,234,0.416831,0.01
314,216,217,0.258606,0.01
315,350,351,0.218233,0.01
316,247,248,0.22143,0.01
317,238,239,0.215919,0.01
318,244,245,0.24723,0.01
319,187,188,0.152402,0.01
320,234,235,0.191953,0.01
321,221,222,0.274829,0.01
322,301,302,0.192446,0.01
323,241,242,0.17415,0.01
324,232,233,0.217646,0.01
325,258,259,0.162883,0.01
326,211,212,0.227639,0.01
327,309,310,0.156926,0.01
328,281,282,0.256101,0.01
329,222,223,0.155394,0.01
330,268,269,0.181807,0.01
331,281,282,0.172462,0.01
332,180,181,0.187731,0.01
333,203,204,0.16342,0.01
334,219,220,0.11037,0.01
335,271,272,0.126046,0.01
336,283,284,0.115574,0.01
337,245,246,0.165965,0.01
338,202,203,0.185206,0.01
339,248,249,0.102529,0.01
340,224,225,0.0981819,0.01
341,208,209,0.101614,0.01
342,227,228,0.151156,0.01
343,180,181,0.138777,0.01
344,237,238,0.212989,0.01
345,230,231,0.112408,0.01
346,204,205,0.15015,0.01
347,240,241,0.112038,0.01
348,225,226,0.084624,0.01
349,284,285,0.100854,0.01
350,215,216,0.102917,0.01
351,267,268,0.135645,0.01
352,238,239,0.100493,0.01
353,220,221,0.104369,0.01
354,201,202,0.0257037,0.01
355,199,200,0.0765288,0.01
356,198,199,0.158817,0.01
357,349,350,0.096624,0.01
358,185,186,0.126653,0.01
359,210,211,0.0822802,0.01
360,183,184,0.0904333,0.01
361,387,388,0.051691,0.01
362,192,193,0.130488,0.01
363,230,231,0.0416875,0.01
364,236,237,0.130125,0.01
365,235,236,0.127027,0.01
366,393,394,0.101499,0.01
367,207,208,0.119466,0.01
368,381,382,0.0214023,0.01
369,285,286,0.119627,0.01
370,204,205,0.0895221,0.01
371,230,231,0.0217722,0.01
372,234,235,0.0753902,0.01
373,170,171,0.0127259,0.01
374,263,264,0.0548857,0.01
375,409,410,0.0720544,0.01
376,181,182,0.0314042,0.01
377,220,221,0.080893,0.01
378,225,226,0.0928341,0.01
379,206,207,0.0532626,0.01
380,176,177,0.074683,0.01
381,281,282,0.0193453,0.01
382,203,204,0.0365217,0.01
383,245,246,0.0320388,0.01
384,213,214,0.0422114,0.01
385,190,191,0.0156618,0.01
386,221,222,0.0999733,0.01
387,187,188,0.0459139,0.01
388,242,243,0.0299098,0.01
389,223,224,0.0217771,0.01
390,200,201,0.0429774,0.01
391,313,314,0.0438143,0.01
392,173,174,0.0110952,0.01
393,229,230,0.0269747,0.01
394,187,188,0.0117821,0.01
395,173,174,0.00987082,0.01
396,204,205,0.00880717,0.01
397,186,187,0.0192274,0.01
398,232,233,0.0358156,0.01
399,230,231,0.0401909,0.01
400,191,192,0.0121728,0.01
401,213,214,0.00910923,0.01
402,213,214,0.0108199,0.01
403,175,176,0.00880919,0.01
404,233,234,0.0306358,0.01
405,177,178,0.0367764,0.01
406,198,199,0.00909497,0.01
407,177,178,0.00888586,0.01
408,226,227,0.00737712,0.01
409,250,251,0.0501672,0.01
410,175,176,0.010985,0.01
411,228,229,0.028404,0.01
412,166,167,0.0157673,0.01
413,180,181,0.00884458,0.01
414,200,201,0.0106349,0.01
415,235,236,0.00747419,0.01
416,190,191,0.00915958,0.01
417,204,205,0.00933437,0.01
418,197,198,0.0110639,0.01
419,169,170,0.0320606,0.01
420,500,500,0.00964978,0.01
421,191,192,0.00754303,0.01
422,234,235,0.0234291,0.01
423,204,205,0.106379,0.01
424,192,193,0.14337,0.01
425,207,208,0.012642,0.01
426,171,172,0.00776622,0.01
427,193,194,0.00785109,0.01
428,182,183,0.143113,0.01
429,189,190,0.110434,0.01
430,160,161,0.130674,0.01
431,232,233,0.0115399,0.01
432,169,170,0.121883,0.01
433,280,281,0.0795202,0.01
434,197,198,0.0109459,0.01
435,203,204,0.101593,0.01
436,193,194,0.0103022,0.01
437,201,202,0.0098002,0.01
438,195,196,0.00853724,0.01
439,163,164,0.116075,0.01
440,174,175,0.00889541,0.01
441,245,246,0.0819052,0.01
442,211,212,0.0106386,0.01
443,183,184,0.00906596,0.01
444,197,198,0.10164,0.01
445,209,210,0.00770495,0.01
446,177,178,0.116871,0.01
447,191,192,0.0112252,0.01
448,172,173,0.00653151,0.01
449,185,186,0.00956262,0.01
450,187,188,0.00844994,0.01
451,270,271,0.0698005,0.01
452,207,208,0.0867688,0.01
453,179,180,0.100556,0.01
454,240,241,0.0655762,0.01
455,159,160,0.0183846,0.01
456,302,303,0.0111976,0.01
457,150,151,0.0106435,0.01
458,228,229,0.0743298,0.01
459,157,158,0.00809157,0.01
460,172,173,0.0094252,0.01
